#,Empresa,Categoria (tipo),Papel na cadeia de LT,Potencial frete Videl,Abordagem comercial (logística)
1,ISA Energia Brasil (CTEEP),Concessionária pura,Maior transmissora independente; opera e expande concessões,Indireto (via EPCs),Conta estratégica; mapear EPCs contratados p/ frete de estruturas e equipamentos
2,Taesa,Concessionária pura,Grande transmissora independente,Indireto,Relacionamento estratégico; frete via EPCs/fornecedores das obras
3,Eletrobras (Chesf/Furnas/Eletronorte/CGT Eletrosul),Concessionária pura (estatal),Maior grupo de transmissão do país,Indireto,Grandes corredores; oportunidades via consórcios/EPCs contratados
4,State Grid Brazil Holding,Concessionária pura,Concessões + HVDC (Belo Monte),Indireto,HVDC = cargas especiais; acessar EPCs e fornecedores de conversoras
5,Equatorial Transmissão,Concessionária pura,Concessões em expansão,Indireto,Obras novas; prospectar EPCs/montadoras vinculadas
6,ENGIE Brasil (Novo Estado Transmissora),Concessionária pura,Transmissão + geração,Indireto,Frete via construtoras das LTs
7,Alupar,Concessionária pura (integrada),Concessões + braço de construção próprio,Médio,Tem execução própria — abordar diretamente logística de obra
8,Neoenergia (Iberdrola),Concessionária pura,Transmissão + distribuição,Indireto,Carteira de LTs; via EPCs
9,Cemig GT / Transmissão,Concessionária pura (estatal),Transmissão MG,Indireto,Relacionamento regional MG
10,Copel GeT / Transmissão,Concessionária pura (estatal),Transmissão PR/Sul,Indireto,Relacionamento regional Sul
11,Enel GT / Transmissão,Concessionária pura,Transmissão,Indireto,Via EPCs
12,Brookfield / Atlas,Concessionária pura (fundo),Ativos de transmissão via controladas,Indireto,Portfólio; mapear SPEs em obra
13,Evoltz (Grupo Actis),Concessionária pura,Carteira de SPEs de transmissão,Indireto,SPEs em O&M/expansão
14,Cymi (Control y Montajes Industriales),EPCista principal / concessões,EPC e concessões de LT,Alto,EPC executa obra — cliente direto de frete de estruturas/equip.
15,Sterlite Power Brasil,EPC / concessionária,Desenvolve + constrói LTs,Alto,Constrói próprio — prospectar logística de obra
16,MEZ Energia,Concessionária (SPE),LTs no RS e outros,Indireto,Regional RS
17,Axia Energia,Concessionária,Desenvolvedora de transmissão,Indireto,Novos leilões
18,Vinci Energia / Transmissão,Concessionária (veículo de investimento),Veículos p/ ativos de LT,Indireto,Via EPCs
19,Cobra / Grupo Vinci,EPCista principal / concessões,EPC e concessões,Alto,Cliente direto de frete de obra
20,Elecnor do Brasil,EPCista principal / concessões,EPC de LT + concessões (Celeo),Alto,EPC ativo — alta demanda de frete de torres/cabos
21,Quatro A (QEA/QAT),EPCista / montadora,EPC e montagem de LTs/SEs,Alto,Montagem eletromecânica — frete recorrente
